user,kit-name,modes,weapon,headgear,primary-headgear,shirt,primary-shirt,shoes,primary-shoes,date
Guest,test,%5BSplat%20Zones%5D%20%5BClam%20Blitz%5D%20,Forge%20Splattershot%20Pro,Gas%20Mask,Special%20Saver%20Up,Takoroka%20Rainbow%20Tie%20Dye,Quick%20Respawn,Punk%20Whites,Thermal%20Ink,Wed%20Nov%2029%202023
Guest,Swim%20Fast%20Win,%5BRainmaker%5D%20,L-3%20Nozzlenose%20D,Gas%20Mask,Haunt,Takoroka%20Rainbow%20Tie%20Dye,Ink%20Recovery%20Up,Zombie%20Hi-Horses,Swim%20Speed%20Up,Wed%20Nov%2029%202023
berry,Berry%20N'Zap%20%3C3,%5BSplat%20Zones%5D%20%5BTower%20Control%5D%20,N-ZAP%20'85,Ocho%20OctoPhones%20Blancos,Run%20Speed%20Up,Berry%20BlobMob%20Tee,Ink%20Main%20Up,Punk%20Whites,Special%20Saver%20Up,Wed%20Nov%2029%202023
berry,my%20roman%20empire,%5BRainmaker%5D%20%5BTower%20Control%5D%20,Splash-O-Matic,Chaos%20Helm,Tenacity,Penguin%20Bolero,Object%20Shredder,Ink-Black%20Clam%20600s,Stealth%20Jump,Wed%20Nov%2029%202023
Guest,ur%20mom,%5BTower%20Control%5D%20,Splattershot%20Jr.,Gas%20Mask,Special%20Saver%20Up,Berry%20BlobMob%20Tee,Thermal%20Ink,Punk%20Whites,Stealth%20Jump,Wed%20Nov%2029%202023
Guest,super%20cool,%5BRainmaker%5D%20%5BSplat%20Zones%5D%20%5BTower%20Control%5D%20%5BClam%20Blitz%5D%20,Custom%20Jet%20Squelcher,Chaos%20Helm,Quick%20Respawn,Penguin%20Bolero,Stealth%20Jump,Punk%20Whites,Ink%20Resistance%20Up,Wed%20Nov%2029%202023
Guest,%3A),%5BSplat%20Zones%5D%20%5BClam%20Blitz%5D%20,Aerospray%20MG,Gas%20Mask,Run%20Speed%20Up,Penguin%20Bolero,Special%20Charge%20Up,Punk%20Whites,Special%20Saver%20Up,Thu%20Nov%2030%202023
berry,demo,%5BTower%20Control%5D%20%5BClam%20Blitz%5D%20,Splash-O-Matic,Gas%20Mask,Drop%20Roller,Berry%20BlobMob%20Tee,Ink%20Main%20Up,Punk%20Whites,Object%20Shredder,Thu%20Nov%2030%202023
